DSH_target,charge_target,P_cond [MPa],P_eva [MPa],Q_cond [kW],Q_eva [kW],W_comp [kW],COP_H,COP_R,mtot [kg],mdot [kg/s],DSH [K],DSC [K]
1.947368421,0.336842105,2.823646093,1.237770756,8.859631101,7.420836627,1.551496724,5.71037693,4.783017914,0.03343638,0.03343638,1.947368421,-999999
1.473684211,0.336842105,2.825262192,1.237792516,8.860246265,7.425389779,1.552448814,5.70727111,4.783017458,0.03355976,0.03355976,1.473684211,-999999
1,0.336842105,2.826891166,1.237817037,8.860819644,7.429913442,1.553400411,5.704144008,4.782999535,0.033684949,0.033684949,1,-999999
3.368421053,0.668421053,3.060547507,1.188137383,9.814271573,8.200089804,1.725580551,5.687518655,4.752075932,0.031709133,0.031709133,3.368421053,13.00619516
1,0.668421053,3.070576052,1.186470911,9.846585056,8.251528736,1.731268368,5.687497811,4.766175416,0.032233681,0.032233681,1,13.08433023
2.894736842,0.668421053,3.062524853,1.187810908,9.820625402,8.210236717,1.726719171,5.687447945,4.754818765,0.031811373,0.031811373,2.894736842,13.02195691
1.473684211,0.668421053,3.068541476,1.186811123,9.840012546,8.241097791,1.730132435,5.68743314,4.763275704,0.032126021,0.032126021,1.473684211,13.06884817
2.421052632,0.668421053,3.064516114,1.187481084,9.827033108,8.220452736,1.727857529,5.687409373,4.757598701,0.031914907,0.031914907,2.421052632,13.03765607
1.947368421,0.668421053,3.06652157,1.187147839,9.833495332,8.230739377,1.728995379,5.687404057,4.760417221,0.032019776,0.032019776,1.947368421,13.05328818
3.842105263,0.668421053,3.058013612,1.187352414,9.800280936,8.182745445,1.724316075,5.683575697,4.745502037,0.031577815,0.031577815,3.842105263,12.98744016
4.315789474,0.668421053,3.055929151,1.187409341,9.792216827,8.171015334,1.723149616,5.682743238,4.741907064,0.03147102,0.03147102,4.315789474,12.97081099
4.789473684,0.668421053,3.053857523,1.18746217,9.784201707,8.15934745,1.721983962,5.681935442,4.738341139,0.031365451,0.031365451,4.789473684,12.95410097
5.263157895,0.668421053,3.051798536,1.187510947,9.776235192,8.147741052,1.72081932,5.681151461,4.734803334,0.031261074,0.031261074,5.263157895,12.93731467
5.736842105,0.668421053,3.049751976,1.187555731,9.768316749,8.136195175,1.719655863,5.680390454,4.731292668,0.031157859,0.031157859,5.736842105,12.9204562
6.210526316,0.668421053,3.04725536,1.18670283,9.754266093,8.118872277,1.718393179,5.676387808,4.724688374,0.031031856,0.031031856,6.210526316,12.90082588
6.684210526,0.668421053,3.045063995,1.1864106,9.744173457,8.105300652,1.717197003,5.674464514,4.720076169,0.0309222,0.0309222,6.684210526,12.88279205
7.157894737,0.668421053,3.042882712,1.186111342,9.734108372,8.091768725,1.716002428,5.6725493,4.715476268,0.030813605,0.030813605,7.157894737,12.86464733
7.631578947,0.668421053,3.040736351,1.185807843,9.724041743,8.078231107,1.714825016,5.670573761,4.710819489,0.030706117,0.030706117,7.631578947,12.84566369
8.105263158,0.668421053,3.038599418,1.185494628,9.714048991,8.064779349,1.713649907,5.668631003,4.706200092,0.030599563,0.030599563,8.105263158,12.82769145
8.578947368,0.668421053,3.036471896,1.185174639,9.704083038,8.051365682,1.712476678,5.666695007,4.701591436,0.030493996,0.030493996,8.578947368,12.80961566
9.052631579,0.668421053,3.033797861,1.183410773,9.684373109,8.028651754,1.71126637,5.659185082,4.691643509,0.030351907,0.030351907,9.052631579,12.78921396
9.526315789,0.668421053,3.031460114,1.182649203,9.671514939,8.012537002,1.710045448,5.655706373,4.685569621,0.03023727,0.03023727,9.526315789,12.76927816
10,0.668421053,3.02912764,1.18187396,9.658637447,7.996416,1.70882624,5.652205719,4.679478705,0.030123455,0.030123455,10,12.74917094
1.473684211,0.431578947,2.877527876,1.206334769,9.399284536,7.925679747,1.669126149,5.631260729,4.748400683,0.032673941,0.032673941,1.473684211,3.530790863
2.421052632,0.384210526,2.850110422,1.218500382,9.185450655,7.721289788,1.638945818,5.604487075,4.711131815,0.032777697,0.032777697,2.421052632,0
1,0.715789474,3.125719767,1.185543662,9.896262367,8.266608279,1.766115509,5.603406073,4.680672491,0.032207558,0.032207558,1,14.18013634
1.473684211,0.715789474,3.123619576,1.185896521,9.889478186,8.255968591,1.764973447,5.603188083,4.677672972,0.032100381,0.032100381,1.473684211,14.16044385
1.947368421,0.715789474,3.121533699,1.186245632,9.882752749,8.245405679,1.763829462,5.603009226,4.674718195,0.031994608,0.031994608,1.947368421,14.14072794
2.421052632,0.715789474,3.119461938,1.186591022,9.876085618,8.23491872,1.762683911,5.602868191,4.671806821,0.031890197,0.031890197,2.421052632,14.12099296
2.894736842,0.715789474,3.11757037,1.186932617,9.869582534,8.224508583,1.761641285,5.602492755,4.668662488,0.031787105,0.031787105,2.894736842,14.10354192
3.368421053,0.715789474,3.115502491,1.187270773,9.863015223,8.214169115,1.760478813,5.602461758,4.66587218,0.031685301,0.031685301,3.368421053,14.08345502
3.842105263,0.715789474,3.112888899,1.186507219,9.848707956,8.196544345,1.759172616,5.598488667,4.659317834,0.031554681,0.031554681,3.842105263,14.05837803
4.315789474,0.715789474,3.110732801,1.18657645,9.840426941,8.184612731,1.757987639,5.597551838,4.655671376,0.031448329,0.031448329,4.315789474,14.03748268
4.789473684,0.715789474,3.108589346,1.186641347,9.832198095,8.17274722,1.756802845,5.596642857,4.65205714,0.03134319,0.03134319,4.789473684,14.01655746
5.263157895,0.715789474,3.106458354,1.186701962,9.824020947,8.160946981,1.755618464,5.595760781,4.648474112,0.031239233,0.031239233,5.263157895,13.99560577
5.736842105,0.715789474,3.104339629,1.186758367,9.815894944,8.149210905,1.754434697,5.594904705,4.644921192,0.031136427,0.031136427,5.736842105,13.97463058
6.210526316,0.715789474,3.1017735,1.185928773,9.80161877,8.131695689,1.753132795,5.590916327,4.638379768,0.031011144,0.031011144,6.210526316,13.94985299
6.684210526,0.715789474,3.099509043,1.185649001,9.791296042,8.117919447,1.751908025,5.588932696,4.633758925,0.030901911,0.030901911,6.684210526,13.92739707
7.157894737,0.715789474,3.097254343,1.185361973,9.781003813,8.104186596,1.750684178,5.586960764,4.62915396,0.030793728,0.030793728,7.157894737,13.90487713
7.631578947,0.715789474,3.095009274,1.185067759,9.770741865,8.090496748,1.749461422,5.5849999,4.62456425,0.03068657,0.03068657,7.631578947,13.88229635
8.105263158,0.715789474,3.092773696,1.184766448,9.760509945,8.076849269,1.748239911,5.58304949,4.619989063,0.030580412,0.030580412,8.105263158,13.85965759
1,0.431578947,2.879317731,1.206170086,9.402964749,7.933228367,1.684998926,5.580398065,4.708150399,0.032789207,0.032789207,1,3.506636586
8.578947368,0.715789474,3.090022476,1.183459893,9.743316165,8.056661163,1.746883561,5.577541848,4.612019566,0.030449089,0.030449089,8.578947368,13.83234978
9.052631579,0.715789474,3.087585406,1.182725003,9.730213068,8.040337628,1.74560845,5.574109743,4.606037298,0.030334024,0.030334024,9.052631579,13.80760827
9.526315789,0.715789474,3.085152891,1.181976113,9.717092908,8.024011526,1.744333719,5.570661623,4.600043809,0.03021979,0.03021979,9.526315789,13.78273143
10,0.715789474,3.082724825,1.18121332,9.703955705,8.00768272,1.74305949,5.56719708,4.594038679,0.030106369,0.030106369,10,13.75772168
