DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.545454545,5.181818182,2782996.079,1379623.191,10328.85505,9310.030457,1132.6565,9.119141635,8.219641572,0.037275151,0.037275151,2.545454545,5.181818182
2.909090909,5.454545455,2784413.095,1379268.987,10338.89657,9312.903808,1133.758668,9.11913343,8.214185322,0.037158027,0.037158027,2.909090909,5.454545455
2.363636364,5.090909091,2782693.67,1379709.785,10326.40266,9310.9227,1132.389396,9.119126952,8.222368322,0.037331614,0.037331614,2.363636364,5.090909091
2.363636364,5,2781887.406,1379893.332,10321.20301,9306.216351,1131.82124,9.119110548,8.222337613,0.037336836,0.037336836,2.363636364,5
2.363636364,4.909090909,2781081.384,1380077.128,10315.99737,9301.504125,1131.252869,9.119090568,8.222303234,0.037342064,0.037342064,2.363636364,4.909090909
2.363636364,4.636363636,2778649.558,1380629.487,10300.34834,9287.345296,1129.537404,9.119085661,8.222255646,0.037357778,0.037357778,2.363636364,4.636363636
2.636363636,4.272727273,2774664.273,1381510.857,10275.38686,9260.093698,1126.800171,9.119085287,8.218044282,0.037301802,0.037301802,2.636363636,4.272727273
2.363636364,4.818181818,2780275.638,1380261.171,10310.78573,9296.785991,1130.684304,9.119066827,8.222265009,0.0373473,0.0373473,2.363636364,4.818181818
2.272727273,4.727272727,2779725.411,1380397.661,10306.92611,9294.845566,1130.26785,9.119012019,8.223577769,0.037378318,0.037378318,2.272727273,4.727272727
2.636363636,5.363636364,2784393.558,1379307.442,10337.83001,9316.573614,1133.662645,9.118965025,8.218118195,0.037239309,0.037239309,2.636363636,5.363636364
2.727272727,4.181818182,2773638.9,1381743.961,10268.8076,9252.568977,1126.097021,9.118936827,8.216493609,0.03728154,0.03728154,2.727272727,4.181818182
3,5.545454545,2785009.244,1379136.908,10342.67084,9314.74203,1134.199133,9.118919721,8.212616074,0.037127712,0.037127712,3,5.545454545
2.909090909,4,2771538.184,1382208.044,10255.67304,9237.579691,1124.658977,9.118918047,8.213671772,0.037241135,0.037241135,2.909090909,4
2.545454545,5.272727273,2783853.573,1379442.105,10334.0231,9314.674402,1133.254497,9.118889997,8.219402108,0.037270011,0.037270011,2.545454545,5.272727273
2.454545455,4.454545455,2776818.178,1381047.774,10288.52851,9275.068862,1128.26623,9.118883677,8.220638549,0.0373426,0.0373426,2.454545455,4.454545455
2.454545455,4.363636364,2776007.584,1381232.741,10283.29129,9270.329507,1127.692928,9.118875396,8.220615097,0.037347857,0.037347857,2.454545455,4.363636364
2.363636364,4.545454545,2777892.717,1380815.934,10295.10556,9282.566981,1128.996902,9.118807629,8.22195966,0.037363083,0.037363083,2.363636364,4.545454545
2.454545455,5.181818182,2783314.415,1379577.152,10330.20678,9312.766845,1132.846424,9.118806017,8.220679036,0.037300806,0.037300806,2.454545455,5.181818182
2.818181818,5.454545455,2784729.241,1379223.01,10340.24622,9315.633892,1133.94778,9.118802825,8.215223011,0.037183383,0.037183383,2.818181818,5.454545455
2.818181818,4.090909091,2772614.485,1381976.962,10262.2315,9245.048802,1125.393745,9.118792019,8.214945967,0.037261334,0.037261334,2.818181818,4.090909091
2.272727273,5.090909091,2783013.116,1379663.649,10327.75711,9313.66399,1132.579712,9.118790496,8.223407055,0.037357416,0.037357416,2.272727273,5.090909091
2.272727273,5,2782206.732,1379847.324,10322.55413,9308.954269,1132.011539,9.11877112,8.223374011,0.037362646,0.037362646,2.272727273,5
2.272727273,4.909090909,2781400.586,1380031.244,10317.34514,9304.238734,1131.443152,9.118748136,8.223337351,0.037367884,0.037367884,2.272727273,4.909090909
2.272727273,4.636363636,2778968.305,1380583.984,10301.68611,9290.06986,1129.727584,9.118734687,8.223283198,0.037383624,0.037383624,2.272727273,4.636363636
2.272727273,4.818181818,2780594.717,1380215.417,10312.13016,9299.517202,1130.874569,9.118721421,8.223296779,0.037373128,0.037373128,2.272727273,4.818181818
2.545454545,4.272727273,2774980.512,1381466.185,10276.7024,9262.792798,1126.989557,9.118720166,8.219058233,0.037327476,0.037327476,2.545454545,4.272727273
2.181818182,4.727272727,2780044.913,1380351.921,10308.27021,9297.577584,1130.458258,9.118665048,8.224609369,0.037404225,0.037404225,2.181818182,4.727272727
