CA,charge_target,P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
6.21E-07,0.2,,,,,,,,,,,
6.21E-07,0.215789474,,,,,,,,,,,
6.21E-07,0.231578947,,,,,,,,,,,
6.21E-07,0.247368421,,,,,,,,,,,
6.21E-07,0.263157895,,,,,,,,,,,
6.21E-07,0.278947368,,,,,,,,,,,
6.21E-07,0.294736842,,,,,,,,,,,
6.21E-07,0.310526316,,,,,,,,,,,
6.21E-07,0.326315789,,,,,,,,,,,
6.21E-07,0.342105263,,,,,,,,,,,
6.21E-07,0.357894737,,,,,,,,,,,
6.21E-07,0.373684211,,,,,,,,,,,
6.21E-07,0.389473684,,,,,,,,,,,
6.21E-07,0.405263158,,,,,,,,,,,
6.21E-07,0.421052632,,,,,,,,,,,
6.21E-07,0.436842105,,,,,,,,,,,
6.21E-07,0.452631579,,,,,,,,,,,
6.21E-07,0.468421053,,,,,,,,,,,
6.21E-07,0.484210526,,,,,,,,,,,
6.21E-07,0.5,,,,,,,,,,,
6.68E-07,0.2,,,,,,,,,,,
6.68E-07,0.215789474,,,,,,,,,,,
6.68E-07,0.231578947,,,,,,,,,,,
6.68E-07,0.247368421,,,,,,,,,,,
6.68E-07,0.263157895,,,,,,,,,,,
6.68E-07,0.278947368,,,,,,,,,,,
6.68E-07,0.294736842,,,,,,,,,,,
6.68E-07,0.310526316,,,,,,,,,,,
6.68E-07,0.326315789,,,,,,,,,,,
6.68E-07,0.342105263,,,,,,,,,,,
6.68E-07,0.357894737,,,,,,,,,,,
6.68E-07,0.373684211,,,,,,,,,,,
6.68E-07,0.389473684,,,,,,,,,,,
6.68E-07,0.405263158,,,,,,,,,,,
6.68E-07,0.421052632,,,,,,,,,,,
6.68E-07,0.436842105,,,,,,,,,,,
6.68E-07,0.452631579,,,,,,,,,,,
6.68E-07,0.468421053,,,,,,,,,,,
6.68E-07,0.484210526,,,,,,,,,,,
6.68E-07,0.5,,,,,,,,,,,
7.16E-07,0.2,,,,,,,,,,,
7.16E-07,0.215789474,,,,,,,,,,,
7.16E-07,0.231578947,,,,,,,,,,,
7.16E-07,0.247368421,,,,,,,,,,,
7.16E-07,0.263157895,,,,,,,,,,,
7.16E-07,0.278947368,,,,,,,,,,,
7.16E-07,0.294736842,,,,,,,,,,,
7.16E-07,0.310526316,,,,,,,,,,,
7.16E-07,0.326315789,,,,,,,,,,,
7.16E-07,0.342105263,,,,,,,,,,,
7.16E-07,0.357894737,,,,,,,,,,,
7.16E-07,0.373684211,,,,,,,,,,,
7.16E-07,0.389473684,,,,,,,,,,,
7.16E-07,0.405263158,,,,,,,,,,,
7.16E-07,0.421052632,,,,,,,,,,,
7.16E-07,0.436842105,,,,,,,,,,,
7.16E-07,0.452631579,,,,,,,,,,,
7.16E-07,0.468421053,,,,,,,,,,,
7.16E-07,0.484210526,,,,,,,,,,,
7.16E-07,0.5,,,,,,,,,,,
7.63E-07,0.2,,,,,,,,,,,
7.63E-07,0.215789474,,,,,,,,,,,
7.63E-07,0.231578947,,,,,,,,,,,
7.63E-07,0.247368421,,,,,,,,,,,
7.63E-07,0.263157895,,,,,,,,,,,
7.63E-07,0.278947368,,,,,,,,,,,
7.63E-07,0.294736842,,,,,,,,,,,
7.63E-07,0.310526316,,,,,,,,,,,
7.63E-07,0.326315789,,,,,,,,,,,
7.63E-07,0.342105263,,,,,,,,,,,
7.63E-07,0.357894737,,,,,,,,,,,
7.63E-07,0.373684211,,,,,,,,,,,
7.63E-07,0.389473684,,,,,,,,,,,
7.63E-07,0.405263158,,,,,,,,,,,
7.63E-07,0.421052632,,,,,,,,,,,
7.63E-07,0.436842105,,,,,,,,,,,
7.63E-07,0.452631579,,,,,,,,,,,
7.63E-07,0.468421053,,,,,,,,,,,
7.63E-07,0.484210526,,,,,,,,,,,
7.63E-07,0.5,,,,,,,,,,,
8.11E-07,0.2,,,,,,,,,,,
8.11E-07,0.215789474,,,,,,,,,,,
8.11E-07,0.231578947,,,,,,,,,,,
8.11E-07,0.247368421,2617289.578,1049049.249,6994.824117,5520.838518,1473.993229,4.745492705,3.745497882,0.02534739,0.02534739,18.79403726,0
8.11E-07,0.263157895,2655626.227,1097697.288,7415.253147,5929.428744,1485.891352,4.990441015,3.990486071,0.026746904,0.026746904,17.27377821,5.68E-14
8.11E-07,0.278947368,2692266.379,1143750.629,7808.309261,6312.665347,1496.155914,5.218914143,4.219256353,0.028103635,0.028103635,15.84011009,0
8.11E-07,0.294736842,2727788.825,1186904.093,8175.595565,6673.303183,1505.57813,5.430203457,4.43238584,0.029442857,0.029442857,14.2918784,0
8.11E-07,0.310526316,2762647.241,1222104.145,8497.60239,6999.694949,1516.611588,5.603018238,4.61535109,0.030819789,0.030819789,11.71491525,5.68E-14
8.11E-07,0.326315789,2801334.371,1238984.107,8744.92679,7280.793285,1536.437668,5.691689921,4.738749535,0.032512261,0.032512261,5.873014521,0
8.11E-07,0.342105263,,,,,,,,,,,
8.11E-07,0.357894737,,,,,,,,,,,
8.11E-07,0.373684211,,,,,,,,,,,
8.11E-07,0.389473684,,,,,,,,,,,
8.11E-07,0.405263158,,,,,,,,,,,
8.11E-07,0.421052632,,,,,,,,,,,
8.11E-07,0.436842105,,,,,,,,,,,
8.11E-07,0.452631579,,,,,,,,,,,
8.11E-07,0.468421053,,,,,,,,,,,
8.11E-07,0.484210526,,,,,,,,,,,
8.11E-07,0.5,,,,,,,,,,,
8.58E-07,0.2,,,,,,,,,,,
8.58E-07,0.215789474,,,,,,,,,,,
8.58E-07,0.231578947,2587197.584,1029231.816,6648.741242,5189.469238,1459.274425,4.556196647,3.556198306,0.024785063,0.024785063,19.42656333,0
8.58E-07,0.247368421,2628026.557,1080373.287,7101.111054,5628.686784,1472.446696,4.822660864,3.822676094,0.026245099,0.026245099,17.81169974,5.68E-14
8.58E-07,0.263157895,2666808.961,1128810.832,7522.518354,6039.098441,1483.619234,5.070383412,4.07051776,0.027657792,0.027657792,16.31802742,0
8.58E-07,0.278947368,2703875.636,1174323.597,7914.746124,6422.803225,1493.415034,5.299763256,4.300749007,0.02903102,0.02903102,14.84313323,0
8.58E-07,0.294736842,2739837.481,1214558.671,8270.464728,6776.526506,1503.42976,5.501064931,4.507378187,0.030403463,0.030403463,12.86685808,0
8.58E-07,0.310526316,2777459.651,1241313.353,8564.219205,7089.392501,1519.053977,5.637863653,4.666978664,0.031961534,0.031961534,8.608817696,0
8.58E-07,0.326315789,,,,,,,,,,,
8.58E-07,0.342105263,,,,,,,,,,,
8.58E-07,0.357894737,,,,,,,,,,,
8.58E-07,0.373684211,,,,,,,,,,,
8.58E-07,0.389473684,,,,,,,,,,,
8.58E-07,0.405263158,,,,,,,,,,,
8.58E-07,0.421052632,,,,,,,,,,,
8.58E-07,0.436842105,,,,,,,,,,,
8.58E-07,0.452631579,,,,,,,,,,,
8.58E-07,0.468421053,,,,,,,,,,,
8.58E-07,0.484210526,,,,,,,,,,,
8.58E-07,0.5,,,,,,,,,,,
9.05E-07,0.2,,,,,,,,,,,
9.05E-07,0.215789474,,,,,,,,,,,
9.05E-07,0.231578947,2596343.522,1058939.328,6739.51794,5282.132126,1457.392546,4.624366962,3.624371581,0.025629568,0.025629568,18.48210936,0
9.05E-07,0.247368421,2637628.351,1110003.094,7194.009858,5724.309655,1469.765952,4.894663567,3.894708301,0.027104914,0.027104914,16.89900249,0
9.05E-07,0.263157895,2676872.188,1158168.607,7616.211161,6136.390413,1480.36464,5.144821049,4.145188454,0.028531869,0.028531869,15.4113283,0
9.05E-07,0.278947368,2714425.531,1202535.206,8005.127756,6518.904423,1490.086813,5.372255954,4.374848743,0.029927196,0.029927196,13.78493835,0
9.05E-07,0.294736842,2751943.145,1237585.209,8342.625317,6863.453119,1502.565896,5.552252544,4.56782171,0.031399829,0.031399829,10.81059426,5.68E-14
9.05E-07,0.310526316,2793473.702,1251251.562,8591.703327,7152.248924,1525.460392,5.632203481,4.688583829,0.03324462,0.03324462,4.200838902,0
9.05E-07,0.326315789,,,,,,,,,,,
9.05E-07,0.342105263,,,,,,,,,,,
9.05E-07,0.357894737,,,,,,,,,,,
9.05E-07,0.373684211,,,,,,,,,,,
9.05E-07,0.389473684,,,,,,,,,,,
9.05E-07,0.405263158,,,,,,,,,,,
9.05E-07,0.421052632,,,,,,,,,,,
9.05E-07,0.436842105,,,,,,,,,,,
9.05E-07,0.452631579,,,,,,,,,,,
9.05E-07,0.468421053,,,,,,,,,,,
9.05E-07,0.484210526,,,,,,,,,,,
9.05E-07,0.5,,,,,,,,,,,
9.53E-07,0.2,,,,,,,,,,,
9.53E-07,0.215789474,2560622.448,1033457.811,6328.230525,4887.576778,1440.655352,4.392605433,3.392606546,0.024904593,0.024904593,19.29112041,0
9.53E-07,0.231578947,2604686.184,1087350.988,6820.332338,5365.843799,1454.505289,4.689107967,3.689119483,0.026446421,0.026446421,17.59676102,5.68E-14
9.53E-07,0.247368421,2646451.044,1138274.127,7276.359249,5810.302231,1466.225731,4.962645993,3.962761059,0.02793591,0.02793591,16.03866796,0
9.53E-07,0.263157895,2686109.731,1185935.803,7698.10566,6223.03481,1476.413108,5.214059411,4.214968546,0.029377516,0.029377516,14.52056519,0
9.53E-07,0.278947368,2724337.594,1227753.349,8077.70146,6600.539164,1486.879587,5.432653412,4.43918877,0.030814402,0.030814402,12.4739384,0
