DSH[K],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.894736842105263,0.4368421052631579,2875179.966714555,1205814.2725632067,9406.609417422538,7919.412324990259,1601.3403522789722,5.874209941712501,4.945489766569377,0.43684210526929446,0.03230935983698615,2.894736842105263,3.981472921277941
2.894736842105263,0.45789473684210524,2887461.493030864,1202221.9640622027,9472.871682426603,7977.181698474458,1608.4261756654337,5.88952842582751,4.959619421248327,0.45789473689358756,0.03220991174753813,2.894736842105263,5.378842749183093
2.894736842105263,0.4789473684210527,2900626.7228845176,1199244.025689061,9529.840114903796,8025.1690036249565,1617.9235521715502,5.890167123232122,4.9601657586687,0.478947367014709,0.032127503270574675,2.894736842105263,6.60128809855928
2.894736842105263,0.5,2914732.47609636,1196809.3992473946,9578.655110911446,8064.467433962666,1628.09477407646,5.883352286014773,4.9533157174693665,0.5000000000000866,0.03206015019911387,2.894736842105263,7.662491488031208
3.3684210526315788,0.1,,,,,,,,,,,
3.3684210526315788,0.12105263157894737,,,,,,,,,,,
3.3684210526315788,0.14210526315789473,,,,,,,,,,,
3.3684210526315788,0.1631578947368421,2350306.769103502,1593861.7029631773,2990.369034600428,2089.2436591369265,909.3620961964513,3.2884249817626148,2.297482672607,0.16315789473717743,0.043143204967319645,3.3684210526315788,0.0
3.3684210526315788,0.1842105263157895,2491984.268839811,1482119.483861955,4847.362402165491,3740.0671705443406,1142.6728223651953,4.242126273846291,3.2730866590515832,0.18421052631573712,0.039936099551646585,3.3684210526315788,0.0
3.3684210526315788,0.20526315789473684,2588015.9983841977,1405554.7799732233,6068.416935667783,4840.750240881562,1282.1944913902296,4.732836536435322,3.775363467388586,0.20526315789474064,0.03776501125302029,3.3684210526315788,0.0
3.3684210526315788,0.22631578947368422,2655955.898268794,1353947.9054620618,6910.489403603347,5608.078869334186,1370.1039450739102,5.043770166817935,4.093177666919029,0.22631578936524496,0.03631327264201837,3.3684210526315788,0.0
3.3684210526315788,0.24736842105263157,2705976.804636386,1316544.8524191782,7519.18219043985,6166.655079282796,1429.893653644016,5.258560432992741,4.31266693405301,0.2473684210290336,0.03526679792294266,3.3684210526315788,0.0
3.3684210526315788,0.26842105263157895,2743832.1210304955,1288990.3515283272,7973.559726971503,6585.883915253413,1472.2390243751775,5.415941022454221,4.473379530235236,0.26842105263000887,0.034498878556174416,3.3684210526315788,0.0
3.3684210526315788,0.2894736842105263,2773146.866804803,1268119.0937797301,8321.284865507985,6907.968734280575,1503.3683682051858,5.535093754461823,4.5949940682387345,0.2894736842031428,0.03391885683450186,3.3684210526315788,0.0
3.3684210526315788,0.31052631578947365,2796126.9570018323,1251980.3969479792,8592.27982697269,7159.784149600575,1526.815433370647,5.6275825087804465,4.689357988604034,0.3105263179264277,0.03347132705923935,3.3684210526315788,0.0
3.3684210526315788,0.3315789473684211,2814457.407349609,1239296.2028662192,8806.652461812735,7359.429685265387,1544.9109942834332,5.700427075993121,4.7636593386267325,0.33157894673726573,0.033120186288300026,3.3684210526315788,0.0
3.3684210526315788,0.3526315789473684,2829207.2226650296,1229202.4231968196,8978.126763809993,7519.412098219652,1559.092456586273,5.758559555517408,4.822941748229517,0.3526315759324197,0.032841128498675175,3.3684210526315788,0.0
3.3684210526315788,0.37368421052631584,2841167.227243472,1221090.7142203983,9116.505394939471,7648.702645240351,1570.3476790513848,5.805405717825856,4.870706498487505,0.3736842105269716,0.032617104513165185,3.3684210526315788,0.0
3.3684210526315788,0.39473684210526316,2851200.420733793,1214600.756519383,9227.86536985351,7752.614144151508,1579.5336224595962,5.842145579328784,4.908166584057515,0.3947368424393004,0.032438019131236305,3.3684210526315788,0.5596219455072173
3.3684210526315788,0.4157894736842105,2861592.773450197,1209323.0531036109,9320.168502718583,7837.426896981465,1588.439238594758,5.867500799693063,4.934042616521478,0.4157894696263059,0.03229248228612931,3.3684210526315788,2.413529456618676
3.3684210526315788,0.4368421052631579,2872997.7355014132,1205015.410843225,9397.625368350602,7906.8590277996145,1597.6205886671912,5.882263558077037,4.949146927554233,0.4368421052632871,0.032173759669372366,3.3684210526315788,4.015721627760797
3.3684210526315788,0.45789473684210524,2885276.4733981476,1201470.9538275034,9463.388312615221,7964.131159979361,1607.0640947906638,5.888619093221619,4.955702255930725,0.45789473695381394,0.03207611388458747,3.3684210526315788,5.406847245366919
3.3684210526315788,0.4789473684210527,2898417.181075704,1198534.7588231552,9519.89503762729,8011.671985394033,1616.8198633136692,5.888036913473021,4.955203833885444,0.4789473680642343,0.0319952540874549,3.3684210526315788,6.622792970582566
