CA[m^2],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
3.127272727272728e-07,0.3909090909090909,,,,,,,,,,,
3.127272727272728e-07,0.39494949494949494,,,,,,,,,,,
3.127272727272728e-07,0.398989898989899,,,,,,,,,,,
3.127272727272728e-07,0.40303030303030307,,,,,,,,,,,
3.127272727272728e-07,0.407070707070707,,,,,,,,,,,
3.127272727272728e-07,0.4111111111111111,,,,,,,,,,,
3.127272727272728e-07,0.41515151515151516,,,,,,,,,,,
3.127272727272728e-07,0.4191919191919192,,,,,,,,,,,
3.127272727272728e-07,0.4232323232323232,,,,,,,,,,,
3.127272727272728e-07,0.42727272727272725,,,,,,,,,,,
3.127272727272728e-07,0.4313131313131313,,,,,,,,,,,
3.127272727272728e-07,0.4353535353535354,,,,,,,,,,,
3.127272727272728e-07,0.43939393939393945,,,,,,,,,,,
3.127272727272728e-07,0.4434343434343434,,,,,,,,,,,
3.127272727272728e-07,0.44747474747474747,,,,,,,,,,,
3.127272727272728e-07,0.45151515151515154,,,,,,,,,,,
3.127272727272728e-07,0.4555555555555556,,,,,,,,,,,
3.127272727272728e-07,0.45959595959595956,,,,,,,,,,,
3.127272727272728e-07,0.4636363636363636,,,,,,,,,,,
3.127272727272728e-07,0.4676767676767677,,,,,,,,,,,
3.127272727272728e-07,0.47171717171717176,,,,,,,,,,,
3.127272727272728e-07,0.4757575757575757,,,,,,,,,,,
3.127272727272728e-07,0.4797979797979798,,,,,,,,,,,
3.127272727272728e-07,0.48383838383838385,,,,,,,,,,,
3.127272727272728e-07,0.4878787878787879,,,,,,,,,,,
3.127272727272728e-07,0.491919191919192,,,,,,,,,,,
3.127272727272728e-07,0.49595959595959593,,,,,,,,,,,
3.127272727272728e-07,0.5,,,,,,,,,,,
4.136363636363637e-07,0.1,,,,,,,,,,,
4.136363636363637e-07,0.10404040404040404,,,,,,,,,,,
4.136363636363637e-07,0.10808080808080808,,,,,,,,,,,
4.136363636363637e-07,0.11212121212121212,,,,,,,,,,,
4.136363636363637e-07,0.11616161616161616,,,,,,,,,,,
4.136363636363637e-07,0.1202020202020202,,,,,,,,,,,
4.136363636363637e-07,0.12424242424242425,,,,,,,,,,,
4.136363636363637e-07,0.12828282828282828,,,,,,,,,,,
4.136363636363637e-07,0.13232323232323234,,,,,,,,,,,
4.136363636363637e-07,0.13636363636363635,,,,,,,,,,,
4.136363636363637e-07,0.14040404040404042,,,,,,,,,,,
4.136363636363637e-07,0.14444444444444446,,,,,,,,,,,
4.136363636363637e-07,0.1484848484848485,,,,,,,,,,,
4.136363636363637e-07,0.15252525252525254,,,,,,,,,,,
4.136363636363637e-07,0.15656565656565657,,,,,,,,,,,
4.136363636363637e-07,0.1606060606060606,,,,,,,,,,,
4.136363636363637e-07,0.16464646464646465,,,,,,,,,,,
4.136363636363637e-07,0.1686868686868687,,,,,,,,,,,
4.136363636363637e-07,0.17272727272727273,,,,,,,,,,,
4.136363636363637e-07,0.17676767676767677,,,,,,,,,,,
4.136363636363637e-07,0.1808080808080808,,,,,,,,,,,
4.136363636363637e-07,0.18484848484848487,,,,,,,,,,,
4.136363636363637e-07,0.18888888888888888,,,,,,,,,,,
4.136363636363637e-07,0.19292929292929295,,,,,,,,,,,
4.136363636363637e-07,0.19696969696969696,,,,,,,,,,,
4.136363636363637e-07,0.20101010101010103,,,,,,,,,,,
4.136363636363637e-07,0.20505050505050504,,,,,,,,,,,
4.136363636363637e-07,0.2090909090909091,,,,,,,,,,,
4.136363636363637e-07,0.21313131313131314,,,,,,,,,,,
4.136363636363637e-07,0.21717171717171718,,,,,,,,,,,
4.136363636363637e-07,0.22121212121212122,,,,,,,,,,,
4.136363636363637e-07,0.22525252525252526,,,,,,,,,,,
4.136363636363637e-07,0.2292929292929293,,,,,,,,,,,
4.136363636363637e-07,0.23333333333333334,,,,,,,,,,,
4.136363636363637e-07,0.23737373737373738,,,,,,,,,,,
4.136363636363637e-07,0.24141414141414141,,,,,,,,,,,
4.136363636363637e-07,0.24545454545454545,,,,,,,,,,,
4.136363636363637e-07,0.2494949494949495,,,,,,,,,,,
4.136363636363637e-07,0.2535353535353535,,,,,,,,,,,
4.136363636363637e-07,0.25757575757575757,,,,,,,,,,,
4.136363636363637e-07,0.26161616161616164,,,,,,,,,,,
4.136363636363637e-07,0.2656565656565657,,,,,,,,,,,
4.136363636363637e-07,0.2696969696969697,,,,,,,,,,,
4.136363636363637e-07,0.2737373737373737,,,,,,,,,,,
4.136363636363637e-07,0.2777777777777778,,,,,,,,,,,
4.136363636363637e-07,0.28181818181818186,,,,,,,,,,,
4.136363636363637e-07,0.28585858585858587,,,,,,,,,,,
4.136363636363637e-07,0.2898989898989899,,,,,,,,,,,
4.136363636363637e-07,0.29393939393939394,,,,,,,,,,,
4.136363636363637e-07,0.297979797979798,,,,,,,,,,,
4.136363636363637e-07,0.302020202020202,,,,,,,,,,,
4.136363636363637e-07,0.30606060606060603,,,,,,,,,,,
4.136363636363637e-07,0.3101010101010101,,,,,,,,,,,
4.136363636363637e-07,0.31414141414141417,,,,,,,,,,,
4.136363636363637e-07,0.3181818181818182,,,,,,,,,,,
4.136363636363637e-07,0.3222222222222222,,,,,,,,,,,
