DSH_target,DSC_target,f_comp
1.0,9.052631578947368,228.125
1.0,9.052631578947368,268.75
1.0,9.052631578947368,309.375
1.0,9.052631578947368,350.0
1.0,9.052631578947368,390.625
1.0,9.052631578947368,431.25
1.0,9.052631578947368,471.875
1.0,9.052631578947368,512.5
1.0,9.052631578947368,553.125
1.0,9.052631578947368,593.75
1.0,9.052631578947368,634.375
1.0,9.052631578947368,675.0
1.0,9.052631578947368,715.625
1.0,9.052631578947368,756.25
1.0,9.052631578947368,796.875
1.0,9.052631578947368,837.5
1.0,9.052631578947368,878.125
1.0,9.052631578947368,918.75
1.0,9.052631578947368,959.375
1.0,9.052631578947368,1000.0
1.0,9.526315789473683,25.0
1.0,9.526315789473683,65.625
1.0,9.526315789473683,106.25
1.0,9.526315789473683,146.875
1.0,9.526315789473683,187.5
1.0,9.526315789473683,228.125
1.0,9.526315789473683,268.75
1.0,9.526315789473683,309.375
1.0,9.526315789473683,350.0
1.0,9.526315789473683,390.625
1.0,9.526315789473683,431.25
1.0,9.526315789473683,471.875
1.0,9.526315789473683,512.5
1.0,9.526315789473683,553.125
1.0,9.526315789473683,593.75
1.0,9.526315789473683,634.375
1.0,9.526315789473683,675.0
1.0,9.526315789473683,715.625
1.0,9.526315789473683,756.25
1.0,9.526315789473683,796.875
1.0,9.526315789473683,837.5
1.0,9.526315789473683,878.125
1.0,9.526315789473683,918.75
1.0,9.526315789473683,959.375
1.0,9.526315789473683,1000.0
1.0,10.0,25.0
1.0,10.0,65.625
1.0,10.0,106.25
1.0,10.0,146.875
1.0,10.0,187.5
1.0,10.0,228.125
1.0,10.0,268.75
1.0,10.0,309.375
1.0,10.0,350.0
1.0,10.0,390.625
1.0,10.0,431.25
1.0,10.0,471.875
1.0,10.0,512.5
1.0,10.0,553.125
1.0,10.0,593.75
1.0,10.0,634.375
1.0,10.0,675.0
1.0,10.0,715.625
1.0,10.0,756.25
1.0,10.0,796.875
1.0,10.0,837.5
1.0,10.0,878.125
1.0,10.0,918.75
1.0,10.0,959.375
1.0,10.0,1000.0
1.4736842105263157,1.0,25.0
1.4736842105263157,1.0,65.625
1.4736842105263157,1.0,106.25
1.4736842105263157,1.0,146.875
1.4736842105263157,1.0,187.5
1.4736842105263157,1.0,228.125
1.4736842105263157,1.0,268.75
